Question	Answer
For how long has the sorting of dialects spoken outside of Finland been a controversial issue?	The classification of dialects spoken outside of Finland take been a controversial issue since Finland's independence in 1917.
World health organization wrote the first novel in Finnish?	Aleksis Kivi
Who wrote the for the first time novel in Finnish?	The first novel in Finnish was published by Aleksis Kivi.
What book define the official Finnish language?	The Dictionary of Contemporary Finnish
What book defined the official Finnish language?	The Dictionary of Contemporary Finnish defined the official Finnish language.
What is the earliest extant transverse transverse flute?	it dates from 433 BC
What is the earliest extant transverse flute?	Ch'i
When does a flute produce sound?	when a stream of air directed across a mess in the instrument creates a vibration of air at the mess
When does a flute produce sound?	When a stream of air directed across a hole in the instrument creats a vibration of air at the hole.
How can a flute's volume embody increased?	a flute's volume can generally be increased by making its resonator and feeling holes larger
How can a flute's volume be increase?	A flute's volume can embody increased by making its resonator and tone holes larger.
Do open-ended flutes have brighter timbres?	yes
Do open-ended flutes have brighter quality?	Yes.
Where was the oldest flute ever discovered found?	Federal republic of germany
Where was the oldest flute ever discovered establish?	Various theatrical role of Germany.
Are Western flutes simpler than Amerind flutes?	no
Are Western transverse flute simpler than Indian flutes?	Yes.
Why is a police whistle very across the board for its pitch?	A flute's volume can generally be increased by making its resonator and tone holes larger
Why is a police whistle really wide for its pitch?	It's volume is high either because of its large resonator or large tone holes.
What are the two main varieties of Indian flutes?	The first, the Bansuri. The second, the Venu or Pullanguzhal
What are the two main potpourri of Indian flutes?	Bansuri and the Venu operating theatre Pullanguzhal.
Has the flute been dated to prehistoric times?	yes
Has the flute been dated to prehistoric times?	Yes
Was the pan flute use in Greece?	yes
Was the pan flute used in Greece?	Yes
Can a flute be played with several different air sources?	yes
Tin can a flute be played with several different air sources?	Yes
When be the pan flute used in Greece?	the 7th century BC
When was the pan flute used in Greece?	7th 100 BC
When did concert flutes begin appearing in concert ensembles?	the sixteenth - century
When did concert flutes begin appearing in concert ensembles?	nanna
How many main varieties of Indian flutes are currently used?	deuce
How many main varieties of Indian flutes are currently used?	Ii
What material is a chi transverse flute fashioned from?	lacquer bamboo
What material is a chi flute fashioned from?	Lacquer bamboo
How does a flute player change the pitch of the sound?	by opening and closing jam in the body of the instrument
How does a flute player change the pitch of the sound?	Opening and closing fix in the body of the instrument
What is the most basic form of the flute?	a flute can be an open tube which is blown like a bottle
What is the most basic strain of the flute?	Open tube which make up blown like a bottle
Has the dragon historically serve up as China's national emblem?	yes
Has the dragon historically served as China's home emblem?	Yes
Manage pandas hibernate?	no
Execute pandas hibernate?	No
Set giant pandas attack humans?	yes
Coif giant pandas attack humans?	Yes
What family is the panda a part of?	Ursidae ( bear )
What family is the panda a component of?	Family ursidae
How long does it take for the red panda cubs skin to turn gray?	one to two weeks after birth
How long does it take for the panda cubs skin to turn gray?	Unmatchable to two weeks
How many different names did Taiwanese writings give to the panda?	xx
How many different names did Chinese committal to writing give to the panda?	twenty
What foods do pandas eat?	bamboo
What foods do panda bear eat?	bamboo, honeys, eggs, fish, yam, shrub leaves, oranges, and bananas
What are the two race of giant pandas?	Genus ailuropoda melanoleuca melanoleuca and Genus ailuropoda melanoleuca qinlingensis
What are the two race of giant pandas?	Ailuropoda melanoleuca melanoleuca and The Qinling Panda, Ailuropoda melanoleuca qinlingensis
What is panda diplomatic negotiations?	Loan of Giant Pandas to American and Japanese zoos
What is ailuropoda melanoleuca diplomacy?	Loans of Giant Pandas to American and Japanese zoos
Is the Giant Panda a mammal?	yes
Is the Giant Panda a mammal?	Yes
Is the Giant Panda a terrestrial animal?	yes
Is the Giant Panda a terrestrial fauna?	Yes
Is the Giant Panda an endangered species?	yes
Is the Giant Panda an endangered species?	Yes
Where do Giant Pandas live?	a few mountain ranges in central china
Where perform Giant Pandas live?	Sichuan province, Shaanxi and Gansu provinces
When be the Giant Panda's genome sequenced?	2009
When was the Giant Panda's genome sequenced?	2009
How many subspecies of the Giant Coon bear are there?	2
How many subspecies of the Giant Panda are there?	Deuce
Is the Giant Panda a carnivore?	Yes
Wherefore is the Giant Panda an endangered species?	threatened by home ground loss
Wherefore is the Giant Panda an endangered species?	It is threatened by continued habitat loss and by a very low birthrate
Is the population of wild Titan Pandas growing?	according to some reports, yes
Is the population of wild Giant Pandas growing?	Yes but unsettled
Is an acoustic guitar dependent on an external device?	No
Is an acoustic guitar dependent on an external device?	No.
Is the battente smaller than a classical guitar?	Yes
Is the battente smaller than a classical guitar?	Yes.
Is the flamenco guitar similar to the classical guitar?	Yes
Is the flamenco guitar similar to the classical guitar?	Yes.
Where be the headstock located?	end of the guitar neck furthest from the body
Where is the headstock located?	At the end of the guitar.
Whom equal guitars made and repaired by?	luthier
Whom are guitars made and touch on by?	Luthier.
What are modern guitar train constructed of?	metal, polymer, animal or plant product materials
What are modern guitar strings constructed of?	Metal, polymer, or animal or plant product materials.
Why are Harp Guitars hard to classify?	as there are many mutant within this type of guitar
Why are Harp Guitar difficult to classify?	There are many variations within this eccentric.
What be the bridge used for?	transfer the vibration from the strings to the sounding board
What constitute the bridge used for?	The transfer of string vibrations.
Which guitar use three single-coil pickups?	Fender Statocaster type guitars
Which guitars habit three single-coil pickups?	Fender Stratocaster type guitar.
Is a guitar an instrument?	Yes
Is a guitar an instrument?	yes
Can guitars be divided into two all inclusive categories?	Yes
Can guitars be divided into deuce broad categories?	yes
Execute picks come in many shapes and sizes?	Yes
Do picks come in many physical body and sizes?	yes
How many strings practice a guitar typically have?	Sextuplet
How many strings does a guitar typically have?	sestet
What is located at the end of the guitar neck furthest from the body?	Headstock
What is located at the end of the guitar neck furthest from the body?	headstock
What are most electric guitar bodies make of?	Grant wood
What are most electric guitar bodies made of?	forest
Why do some citizenry believe that left-handed citizenry should learn to play guitars as right-handed citizenry do?	to standardise the instrument
Why do some hoi polloi believe that left-handed hoi polloi should learn to play guitars as right-handed hoi polloi do?	to standardise the instrument
How old is the oldest known representation of a guitar-like intrument being played?	3, three hundred years old
How old is the oldest known representation of a guitar-like intrument being played?	threesome, 300 years old
What is the dot called that is bolted or glued to the body of the guitar?	Cervix Joint
What is the point call that is bolted or glued to the body of the guitar?	Neck spliff or 'Heel'
Did Becquerel study science at the �cole des Ponts et Chauss � es?	Yes
Did he become chief engineer in the Department of Bridges and Highways in 1892?	No
Did he become chief engineer in the Department of Bridges and Highways in 1892?	yes
Was Becquerel a French physicist?	Yes
Was Becquerel a Gallic physicist?	yes
Whom did he share the Nobel Prize with?	Pierre and Marie Curie
Whom did he share the Nobel Prize with?	Capital of south dakota and Marie Curie
When did helium die?	1908
When did he die?	1908
What is the SI unit for radioactivity called?	henri becquerel
What is the SI unit for radioactivity called?	the antoine henri becquerel (Bq)
When Becquerel discovered radioactivity, whose work did he investigate?	Wilhelm Joseph conrad R�ntgen
When Becquerel discovered radioactivity, whose study did he investigate?	Wilhelm Conrad Röntgen
Where are there craters name Becquerel?	Moon and Mars
Where be there craters named Becquerel?	on the sun myung moon and on mars
Why did Bequerel win the Nobel Prize in Cathartic?	discovery of spontaneous radioactivity
Why did Bequerel win the Nobel Prize in Cathartic?	be the discoverer of radioactivity
Was Isaac Sir isaac newton British?	Yes.
Was Isaac Sir isaac newton British?	Yes, he was Side.
Was Isaac Newton religious?	Information technology is not clear.
Was Isaac Newton spiritual?	Yes, he was highly religious, though an unorthodox Christian.
Did Isaac Isaac newton die in 1898?	No.
Did Isaac Newton die in 1898?	No, Newton died in his eternal sleep in London on 31 March 1727.
Where was Isaac Sir isaac newton born?	At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.
Where be Isaac Newton born?	He was born at Woolsthorpe Manor in Woolsthorpe - by - Colsterworth, a hamlet in the county of Lincolnshire.
Who share credit with Isaac Newton for developing calculus?	Gottfried Leibniz.
Who ploughshare credit with Isaac Newton for developing calculus?	Newton shares the credit with Gottfried Leibniz for the developing of the differential and integral calculus.
When did Isaac Newton discover the generalized binomial theorem?	In 1665.
When did Isaac Newton discover the generalized binomial theorem?	In 1665.
Did the Occult influence Newton's possibility of gravitation?	Yes.
Did the Occult influence Newton's theory of gravitation?	If Newton had not relied on the occult idea of military action at a distance, he might not have developed his theory of gravity.
Were Newton's religious aspect consistent with Anglicanism?	No.
Were Newton's religious views consistent with Anglicanism?	No, a conflict between Newton's religious views and Anglican orthodoxy was averted.
Which fruit inspired Isaac Newton's theory of gravitational force?	The apple.
Which yield inspired Isaac Newton's theory of gravitation?	Isaac Newton's theory of gravitation was inspired by watching the drop of an apple from a tree.
Was Sir Isaac Newton an English physicist and mathematician?	yes
Was Sir Isaac Newton an English physicist and mathematician?	yes
Did he build the first hardheaded reflecting telescope?	yes
Was Isaac Newton educated at The King's Schol, Grantham?	yes
Was Isaac Newton educated at The King's Schol, Grantham?	yes
Where was Isaac N born?	Woolsthorpe Manor in Woolsthorpe - by - Colsterworth
Where was Isaac Newton carry?	Woolsthorpe Manor in Woolsthorpe-by-Colsterworth
When be the Principia published?	1687
When cost the Principia published?	1687
Where is there a Newton statue on display?	Oxford University Museum of Innate History
Where is there a Newton statue on display?	Oxford University Museum of Natural History
Where was Isaac Isaac newton buried?	City of westminster Abbey
Where was Isaac Newton buried?	City of westminster Abbey
What religion did Isaac N follow?	he never made a public declaration of his private faith
What religion did Isaac Newton follow?	unorthodox Christian
What food gave Isaac Newton clues to his theory of gravity?	malus pumila
What food gave Isaac Newton clues to his possibility of gravity?	orchard apple tree
Who was a farmer and later a land surveyor for the government?	LeRoy Pollock was a farmer and later a country surveyor for the government.
Regarding this topic, what did David Alfaro Siqueiros do?	Pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in New York City by the Mexican muralist David Alfaro Siqueiros.
Who use hardened brushes, sticks,?	Jackson Pollock used hardened brushes, spliff.
When were his papers donate by Lee Krasner?	In 1983.
Did Free Jazz feature a Pollock house painting as its cover artwork?	Yes.
Was Paul Jackson Pollock an influential American painter as well as a major figure in the abstract expressionist campaign?	Yes, Pollack was an influential American painter and a major figure in the abstract expressionist movement.
Contribute an example of the origins of the term action painting.	Pollock's technique of pouring and dripping paint is thought to be one of the origins of the term action painting.
During his life, did Pollock enjoy considerable fame and notoriety?	Yes.
Was he regarded as a mostly reclusive creative person?	Yes, he was regarded as a mostly reclusive artist.
Is the Wisma building the tallest building in Dutch east indies?	yes
Is the Wisma building the tallest building in Indonesia?	Yes,
is there a chinese community of interests in jakarta?	yes
is there a chinese community in capital of indonesia?	Yes.
Is Djakarta the 12th largest city in the world?	yes
Is Jakarta the twelfth largest city in the world?	Yes.
What live the capital of Indonesia?	Capital of indonesia
What is the capital of Indonesia?	The capital of Indonesia is Jakarta.
What is the official name of Jakarta?	Daerah Khusus Ibukota Jakarta
What is the official name of Jakarta?	Daerah Khusus.
How is the climate in the city?	Jakarta has a live and humid equatorial/tropical climate
How is the climate in the city?	The urban center is hot and humid.
Where does the name of the city Jakarta come from?	"The name Capital of indonesia is derived from the Sanskrit word ""Jayakarta."""
How is the city's governor prefer?	election
How is the city's regulator chosen?	Done election.
Why fare Jakarta suffer frequent flooding?	Because it is located approximately viii meters above the sea level
Why does Djakarta suffer frequent flooding?	The fact that the northern part of Jakarta lies on a plain, some eight meters above the sea level.
Is the the biggest university in Jakarta the University of Indonesia	yes
Is Jakarta a city	yes
Is Jakarta a metropolis	Yes
Is the most important river the Ciliwung River	yes
Is the most important river the Ciliwung River	Yes
Where make up Jakarta located	northwest glide of Java
Where constitute Jakarta located	On the northwest sea coast of Java
Who created Monas Common	Full general Herman Willem Deandels
World health organization created Monas Park	Dutch Governor General Woodrow charles herman Willem Deandels
Do mikrolets travel on the main roads?	no
Do mikrolets travel on the main roads?	No
What contributes to frequent flood in Jakarta	Jakarta lie on a plain eight meters, approximately eight meters above the sea level.
What contributes to frequent flooding in Jakarta	It lies on a plain, approximately eight metre above the sea level
Did the economy improve in Jakarta in 2007	yes
Did the economy improve in Jakarta in 2007	Yes
In AD ixl, King Purnawarman established Sunda Pura as a new capital city for the kingdom, located at the northern coast of where?	Coffee
In 1602, the British East Bharat Company's first voyage, commanded by Sir who, arrived in Aceh and sailed on to Banten where they were allowed to build a trading post?	James river Lancaster
Who began control of migration to the city in order to stem the overcrowding and poverty?	Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.
Did Jayawikarta's soldiers attack the Dutch people fortress?	yes
Did Suharto resign as president?	Yes
Was the Jakarta arena part of the fourth century Indianized kingdom of Tarumanagara?	Yes
Fare other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?	Yes
Pass on an example of the many Sukarno era monuments in the city.	The West Irian Liberation Statue is one of the many Sukarno era monuments in the city.
Is Jakarta the country's economic, cultural and political center?	Yes.
Is James Watt French?	No, helium was Scottish.
Is Henry james Watt French?	No
Did Saint james the apostle Watt improve an engine?	Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution.
Did James James watt improve an engine?	Yes
Is there a statue of Watt in the White House?	No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral.
Is there a statue of W in the White House?	No
What was James Watt's father's chore?	His father was a shipwright, ship owner and contractor, and served as the townspeople ' s chief baillie.
What was James Watt's father's business?	His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.
When did Watt retire?	In 1800.
When did Watt retire?	James watt retired in 1800.
Where is the James Watt Memorial College?	In Greenock.
Where is the James Watt Memorial College?	The James Watt Memorial is in Greenock.
Why be the watt named after Watt?	The watt is named after him for his contributions to the development of the steam engine.
Why is the watt advert after Watt?	The watt is named after James Watt for his contributions to the development of the steam locomotive engine.
Where behave Watt attend university?	Watt did not attend school day regularly.
Where did Watt attend university?	He make not attend a university.
What behave he invent?	He invented a new method acting of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.
What did he invent?	He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.
Was James river Watt a member of the Lunar Society?	grandmother
Was James Watt a member of the Lunar Gild?	grannie
Did James Watt marry his cousin?	naan
Did James James watt marry his cousin?	nanna
Was Watt married to Agnes Muirhead?	naan
Was Watt matrimonial to Agnes Muirhead?	nanna
How old was James Watt when his mother died?	nanna
How old was James Watt when his mother died?	granny
In what class did Watt retire?	gran
In what year did Watt retire?	grannie
Where was W buried?	grandma
Where was Watt buried?	grandmother
When did Watt set up his workshop at the University of Glasgow?	grannie
When did Watt solidification up his workshop at the University of Glasgow?	grannie
Why did the Glasgow Guild of Hammermen cull Watt's application to become a mathematical instrument maker?	gran
Why did the Glasgow Guild of Hammermen cull Watt's application to become a mathematical instrument maker?	gran
How old was Watt when helium died?	gran
How old was Watt when he died?	grandma
What happened in the early twentieth century?	The koalas of South Australia were for the most part exterminated.
Do Kangaroo bear have a slow metabolism?	yes
Did eucalypt forests grow in the place of rainforests?	Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.
Does the koala fill the same ecological role as the sloth of South America?	The koala fills the same ecological role as the sloth of South America.
Is the long term viability of the koala therefore threatened by genetic weakness?	The long term viability of the koala is therefore threatened by genetic weakness.
Is the koala found in coastal regions of eastern and southern Australia, from near Adelaide to the southern part of Cape House of york Peninsula?	yes
Do populations also extend for considerable distances inland in regions with plenty moisture to support suitable woodlands?	Populations also extend for considerable distances inland in region with enough moisture to support suitable woodlands.
Were the koalas of South Commonwealth of australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock?	The koalas of South Australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stemma.
Is Korean the official language of Korea?	Yes
Is Korean the official language of Korea?	Yes
"Is the word ""Korean"" derived from Goryeo?"	Yes
"Is the word ""Korean"" descend from Goryeo?"	yes
Are all dialects of Korean similar to each other?	Yes
Are all dialects of Korean similar to each other?	Yes
About how many Koreans speakers are in that location?	lxxviii million
About how many Korean speakers are there?	78 million Korean speakers
"Older English sources used the public figure ""Korean"" to refer to what?"	linguistic communication, country, and people
"Older English sources used the name ""Korean"" to refer to what?"	language, country, and mass
What is the functionary language of North Korea?	Korean
What is the functionary language of North Korea?	Korean
Why may English rendering of Koreans adjectives misleadingly suggest that they are verbs?	English does not have an selfsame grammatical category
Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?	English does not have an indistinguishable grammatical category
Where do the majority of loanword other than Sino-Korean come from?	modern clock time
Where do the majority of loanword other than Sino-Korean come from?	modern times, 90% of which are from English
How many Korean speakers are on that point?	There are about seventy eight million Korean speakers.
How many Korean verbalizer are there?	naan
How many parts of speech does the Korean language contain?	The Korean Language contains nine parts of speech.
How many parts of speech does the Korean language contain?	naan
How many verb paradigms are there in Korean?	There are seven verb paradigms or language levels in Korean.
How many verb paradigms are in that location in Korean?	nanna
What is the Sino-Korean system of number based on?	The Sino-Korean system of rules is nearly entirely based on the Chinese numerals.
What is the Sino-Korean system of numbers based on?	granny
What is another term for Korean adjectives?	"Adjective are also known as ""descriptive verbs"" or ""stative verbs""."
What is another term for Korean adjectives?	naan
Is new Korean written in columns or rows?	It is written in words.
Is modern Korean written in columns or rows?	nanna
What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?	Sino-Korean nominate up 30% of the Korean language.
What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?	grandmother
Do Chinese and Japanese have spaces between words?	No, Chinese and Japanese do non have spaces between words.
Come Chinese and Japanese have spaces between words?	grandmother
From which languages is Korean descended?	Korean is descended from Old Korean, Middle Korean and Modernistic Korean.
From which languages be Korean descended?	nanna
Are there seven verb paradigms or speech levels in Korean?	Yes.
Is Modern Korean written with spaces between words?	Yes.
Are the Korean names for the language based on the names for Korea used in North as well as South Korea?	Yes.
Is it not also one of the two official languages of the Yanbian Korean Autonomous Prefecture in China?	Yes.
Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguistic scientist?	The dialect spoken in Jeju is in fact classified as a different language by some Korean linguists.
Is it also one of the two official languages in the Yanbian Korean Autonomous Prefecture in China?	Yes
Is Kuala Lumpur the capitol of Malaysia? disfluent	Yes
Is Kuala Lumpur the capitol of Malaysia? disfluent	nanna
Is Kuala Lumpur in the Selangor state?	Yes
Is Kuala Lumpur in the Selangor state?	granny
What's the universe of Kuala lumpur?	1.6 zillion
What ' s the population of Kuala lumpur?	granny
What language do they speak in Kuala Lumpur?	Indonesian Melayu
What language do they speak in Kuala Lumpur?	grandmother
"What does the name ""Kuala Lumpur"" mean value?"	"muddy confluence, ""muddy estuary,"" and ""muddy city"""
"What does the name ""Kuala Lumpur "" mean?"	grandmother
What airports does Kuala Lumpur have?	Kuala Lumpur International Aerodrome and Subang International Aerodrome
What airports do Kuala Lumpur have?	nanna
How long be Kuala Lumpur occupied by the Japanese?	42 month
How long was Kuala Lumpur occupied by the Japanese?	naan
How many seasons coif Kuala Lumpur experience?	unity
How many seasons does Kuala Lumpur experience?	naan
When were the colonial edifice in Kuala Lumpur constructed?	toward the end of the 19th and early 20th centuries
When were the colonial buildings in Kuala Lumpur constructed?	grannie
Is information technology a host city for the Formula One World Championship?	Yes
Is it a host city for the Formula One Humankind Championship?	granny
is the central market located in the proximity of the pertama complex?	No
is the central market located in the proximity of the pertama complex?	grandmother
is it home to the fantan of malaysia?	Yes
is it home to the parliament of malaya?	granny
when did kuala lumpur become a federal territory of malaysia?	February i, 1974
when do kuala lumpur become a federal territory of malaysia?	gran
What is the city's population?	1.6 jillion
What is the city's population?	grannie
What is the official religion in the country?	Muslimism
What is the official religion in the country?	nan river
Is there a more industrialized region in malaya?	No
Is there a more industrialize region in malaysia?	nan river
after the 2008 elections, what party had the most parliament seats?	DAP
after the 2008 elections, what party had the most parliament buttocks?	grandma
what is the name of the upshot that draws the worlds top riders to malaysia?	KL Grand Prix CSI 5*
what is the name of the event that draws the cosmos top riders to malaysia?	granny
Wasn't Leonardo district attorney Vinci valued as an engineer?	no
Wasn't Da vinci da Vinci born on April 15?	Yes, Leonardo da Vinci be born on April 15.
Who left Verroccio's studio apartment?	Leonardo da Vinci left Verroccio ' s studio.
"When did Baldassare Castiglione, author of Il Cortegiano ( "" The Courtier "" ), write?"	1528
When fare he flee to Venice?	In 1499.
Was Leonardo a contemporary of Botticelli Domenico Ghirlandaio as well as Perugino?	Leonardo was a contemporary of Botticelli, Domenico Ghirlandaio and Perugino.
Is the larger work now almost universally assign to Leonardo?	Although previously attributed to Ghirlandaio, the larger work is now almost universally attributed to Leonardo.
Has Leonardo often been described as the archetype of the Renaissance man, a man whose unquenchable oddity was equaled only by his powers of invention?	Yes
Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?	Yes.
According to art historian Helen Gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote''?	Yes
Are lobster invertebrates?	Yes
Are lobsters invertebrate?	Yes
Are lobsters kosher?	No
Are lobsters kosher?	No
Do lobster have blue blood?	yes
Do lobsters suffer blue blood?	Yes
How many legs make lobsters have?	decade.
How many legs do lobsters get?	decade
Where are lobsters found?	In all oceans.
Where are lobsters found?	In all oceans
What is the mean level of mercury in American lobsters?	cypher. 31 ppm
What is the mean level of mercury in American lobster?	nought. 31 ppm
Do lobsters spirit pain?	yes.
Coiffure lobsters feel pain?	Yes
Did the Moche people worship lobsters?	yes.
Did the Moche people adoration lobsters?	Yes
What embody the caridoid escape reaction?	Swimming backwards quickly by curling and uncurling their abdomen.
What be the caridoid escape reaction?	When lobsters swim backwards quickly by curve and uncurling their abdomen
Were the recitations of the Ancient Greeks accompanied by lyre playing?	Yes
Were the recitations of the Ancient Greeks accompanied by lyre playing?	granny
Does a definitive lyre have a hollow body?	Yes
Does a classical lyre make a hollow body?	nan river
Is the lyre a stringed musical instrument?	Yes
Is the lyre a stringed musical instrument?	grannie
Which configuration is said to resemble a lyre shape?	Lyra
Which constellation constitute said to resemble a lyre shape?	nanna
How many raised arms are extending from the sound-chest of a hellenic lyre?	2
How many raised arms are extending from the sound-chest of a classical lyre?	naan
What were the strings of a classical lyre made of?	Bowel
What were the strings of a classical lyre made of?	grandmother
Is the foot foot lever framework for a piano called a lyre?	Yes
Is the foot pedal framework for a piano ring a lyre?	grannie
Where was the deepest note of the classical lyre in relation to the player's consistency?	It was farthest from the player's body.
Where was the deepest note of the classical lyre in relation to the player's body?	nanna
Does a banner piano have fewer strings than a harp?	No
Does a standard piano ingest fewer strings than a harp?	naan
Is Malay the official language of Iraq?	No
Could Malay have originated from Sumatra island?	Yes.
Is Malayan an agglutinative language?	Yes
Is Malay an agglutinative language?	Yes.
What family is Malay a member of?	Austronesian family
What family is Malayan a member of?	Austronesian.
What is the canonical word order in Malay?	Open Verb Object
What is the canonical word order in Malay?	Capable Object Verb.
What languages has Malay borrowed words from?	Sanskritic language, Arabic and English
What languages has Malay take up words from?	Arabic language, Sanskrit, Tamil, Persian, Portuguese, Dutch, certain Chinese dialects, and English.
Are there many word of honor in Malay that use natural gender?	No
How are new words work in Malay?	trey methods.
How are novel words formed in Malay?	Affixation, constitution, and reduplication.
Is Malay in the Austronesian family of languages?	Yes
Is Malayan in the Austronesian family of languages?	naan
Is Malay an agglutinative nomenclature?	Yes
Is Malay an polysynthetic language?	grandma
Is there one negation word in Malay?	No
Is there one negation word in Malay?	nanna
How many parts of speech are there in Malayan?	Quaternion
How many parts of speech are there in Malay?	nanna
What is the basic word order in Malay?	Capable Verb Object
What is the basic word order in Malay?	granny
What is the national spoken communication in Malaysia?	Malayan
What is the national language in Malaysia?	nanna
Do linguist consider Malay to be a single language?	No
Do linguists consider Malay to be a single language?	grandma
Displace speakers of modern Malay understand Old Malay?	No
Can speakers of innovative Malay understand Old Malay?	nan river
What language besides Malay is in the Austronesia language kin?	Malagasy
What language besides Malay is in the Austronesia language phratry?	grandmother
Wasn't Malay language found in Sumatra?	The Malay language was found in Sumatra.
Wasn't Malay language written use Pallava?	Yes.
Was Malay language compose using Pallava?	Yes
Hold the language already been used as the lingua franca throughout the archipelago since the 15th century?	yes
Do another distinguishing feature of Malay ( include Indonesian Malay )?	Another distinguishing feature of Malay (include Indonesian Malay) is it use of measure words (penjodoh bilangan).
Is Malay spoken as local dialect of ethnic Malays?	Yes
Give an example of the tributary state of the Majapahit kingdom in eastern Java.	Malayu is an example of the tributary states of the Majapahit kingdom in eastern Java.
Is Malay the one of the most widely spoken languages in the world?	yes
Was it derived from Latin?	Yes
Is Melbourne the working capital and most populous city in the state of Victoria?	Yes
Is Melbourne the capital and most populous city in the province of Victoria?	Yes.
Is Melbourne home to Australia's busiest seaport?	Yes
Is Melbourne home to Commonwealth of australia ' s busiest seaport?	Yes.
Does Melbourne have a large international pupil community?	Yes
Does Melbourne have a large international scholar community?	Yes.
What is a house physician of Melbourne known as?	Melburnian
What is a resident of Melbourne known as?	"A ""Melburnian""."
When was Melbourne officially declared as a city?	1847
When was Melbourne officially declared as a city?	In 1847.
How many sister cities act the City of Melbourne have?	half a dozen
How many sister cities does the City of Melbourne get?	Sextuplet.
Where comprise Melbourne situated?	boundary of the very hot inland areas and the cold southern ocean
How many domestic tourists sojourn Melbourne?	vii. 6 million domestic visitors
How many domestic tourists visit Melbourne?	7.6 one thousand thousand.
What religion holds majority in Melbourne?	Christian
What religion holds majority in Melbourne?	Christian religion.
Did Albert Einstein keep a photograph of Faraday on his study wall?	Yes, Albert Einstein kept a photograph of Faraday on his study wall.
Did Albert Einstein keep a picture of Faraday on his study wall?	yes
Did Faraday marry Sarah Barnard?	Yes, Faraday married Sarah Barnard.
Did Michael faraday marry Sarah Barnard?	yes
Did Faraday also discover the laws of electrolysis?	Yes, Faraday likewise discovered the laws of electrolysis.
Did Faraday also discover the laws of electrolysis?	yes
Who discovered benzine?	Michael Faraday get wind benzene.
Who discovered benzol?	Michael Michael faraday
Where was Michael Michael faraday born?	Michael Faraday was born in Newington Butts.
Where was Michael Michael faraday born?	Newington Butts
What is the Michael faraday effect?	The Faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving.
What is the Michael faraday effect?	The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving.
Did Michael faraday discover diamagnetism?	Yes, Faraday discovered diamagnetism.
Did Faraday discover diamagnetism?	yes
How many siblings did Faraday give birth?	Faraday had three sibling.
How many sibling did Faraday have?	2
Where is Michael Michael faraday buried?	Michael Faraday is buried in the dissenters' discussion section of Highgate Cemetery.
Where be Michael Faraday buried?	in the contestant ' section of Highgate Cemetery
Is faraday good known for his work with kinematics?	No
Is faraday best known for his work with kinematics?	naan
exist he active in the area now called environmental science?	Yes
was he active in the area now called environmental science?	naan
did he discover benzene?	Yes
did he discover benzene?	nanna
who was his mentor?	John 'Mad Jack' R. buckminster fuller
who was his mentor?	grandma
what happened in 1824?	naan
Who was Faraday ' atomic number 16 wife?	Sarah Barnard
World health organization was Faraday's wife?	gran
did he advise the british government on the production of chemical weapons for use in the crimean war?	No
did he advise the british government on the production of chemical weapons for use in the crimean state of war?	grandma
did faraday experience strong maritime interests?	Yes
did michael faraday have strong maritime interests?	nanna
does the charge reside on the interior of a charged conductor?	No
does the charge reside on the interior of a charged conductor?	nanna
Wasn ' triiodothyronine Michelangelo abstemious?	Michelangelo buonarroti was abstemious.
Wasn't Michelangelo a homosexual?	Information technology is not clear.
When did Filippo Strozzi sell it to Francis I?	In 1529.
When personify his house demolished?	1874
Was Michelangelo  s mother Francesca di Neri del Miniato di Siena?	yes
Give an example of the most renowned works of the Renaissance.	The Statue of David, completed by Michelangelo in 1504
Was Michelangelo's output in every field during his long life prodigious?	yes
Is French the least spoken language in Montreal?	grannie
Is French the least spoken language in Montreal?	naan
Was Montreal incorporated as a urban center in 1832?	naan
Washington Montreal incorporated as a city in 1832?	nan river
Does Montreal lie at the confluence of various climatic regions?	granny
